Histone	LinkerHistone	Acetyltransf_1	GNAT_acetyltr_2	Hat1_N	KAT11	MOZ_SAS	Hist_deacetyl	SIR2	DOT1	SET	SWIRM	CupinJmjC	ADD_ATRX	ADD_DNMT3	BAH	BIR	Bromodomain	Chromo	ING	MBT	MRG	PHD	PWWP	SAWADEE	TTD	TUDOR	zf-CW	YEATS	SNF2_N	ASF1_hist_chap	CAF1A	CHZ	Daxx	Hira	HJURP_mid	NAP	Rtt106	SPT16	SSrecog	zf-CCHH	UBN_AB	Nucleoplasmin	ATF7IP	PA1	Dpy-30	Menin	NCOA6	PTIP	TRRAP	AF9	PCRing	YAF2_RYBP	SAM	SLED	Suz12	CAF1C	Kelch	zf-C2H2	zf-CXXC	WD40
Homo sapiens	108	11	21	1	1	2	6	12	8	1	44	6	35	1	3	11	9	44	27	5	11	3	73	23	0	2	14	8	4	34	3	1	1	5	1	1	20	2	1	1	2	2	3	2	2	5	1	1	13	5	2	15	3	93	5	1	3	71	724	13	234
Danio rerio	155	27	38	1	1	7	10	13	9	1	62	8	38	5	9	18	10	60	49	6	17	3	95	29	0	1	20	4	5	45	2	2	2	1	1	0	7	4	1	3	1	4	6	1	1	6	1	1	14	8	3	9	3	123	6	4	5	107	1072	18	268
Ciona intestinalis	15	3	12	1	1	1	5	5	6	1	19	4	32	1	0	6	13	19	4	3	4	2	24	8	0	1	9	1	3	15	2	0	0	0	1	0	4	2	1	1	1	1	1	0	1	3	1	1	10	4	1	4	1	29	0	1	2	57	102	5	152
Branchiostoma lanceolatum	62	22	35	1	1	1	4	6	7	2	30	3	46	0	0	4	13	19	13	3	4	1	44	13	0	1	19	9	3	14	1	1	0	1	0	0	1	1	0	1	2	0	1	0	1	4	2	7	12	2	1	5	1	51	2	1	1	190	649	2	189
Saccoglossus kowalevskii	65	20	24	1	1	1	5	8	10	2	24	8	34	0	1	9	4	24	17	3	4	2	34	11	0	1	18	4	3	25	1	1	0	1	1	0	4	2	1	1	7	1	2	0	1	5	1	1	18	5	1	6	1	58	1	1	3	87	254	4	234
Ptychodera flava	23	20	56	0	1	1	3	7	5	3	26	4	32	0	1	6	8	15	13	3	3	3	30	7	0	1	18	5	3	22	1	1	0	1	0	0	3	2	0	2	3	1	2	0	1	4	2	1	16	7	1	6	0	45	3	0	1	77	254	4	166
Strongylocentrotus purpuratus	67	15	37	1	1	4	8	13	12	2	91	6	30	4	3	10	8	44	17	5	6	2	76	16	0	1	23	4	3	41	1	1	0	0	1	0	4	2	1	1	4	1	5	0	1	4	1	1	35	7	1	6	1	85	2	1	4	51	376	14	253
Acanthaster planci	27	7	26	1	1	3	6	13	15	1	36	5	39	1	2	11	3	38	20	3	5	5	60	16	0	1	16	6	3	28	1	1	0	0	1	0	3	2	1	1	5	1	5	0	1	4	1	1	21	5	1	7	1	92	2	1	2	53	173	7	250
Drosophila melanogaster	102	24	26	1	1	1	5	5	5	2	23	3	13	1	0	6	4	18	17	3	3	2	25	8	0	0	14	0	4	19	1	1	0	0	1	0	4	2	1	1	3	1	3	0	1	4	1	0	10	3	1	4	1	27	1	1	2	16	205	1	130
Tribolium castaneum	29	8	21	2	1	6	8	7	6	2	40	4	26	3	0	20	8	61	17	6	5	3	59	14	0	3	21	0	3	29	1	3	0	0	1	0	4	2	1	1	4	2	3	0	0	5	1	1	17	5	1	8	1	84	1	1	2	26	343	4	212
Daphnia pulex	32	6	22	1	1	1	3	8	5	2	28	3	46	1	2	6	6	30	26	3	5	2	34	7	0	1	45	0	3	36	7	5	0	0	1	0	2	2	1	1	3	1	4	0	1	1	2	0	13	7	1	5	1	34	2	1	2	26	127	1	183
Limulus polyphemus	36	3	20	1	1	6	11	17	11	3	37	3	33	2	3	21	5	55	22	3	9	3	77	19	0	2	25	3	4	30	3	1	0	0	1	0	10	2	1	1	5	2	3	0	1	6	2	4	16	5	2	10	4	127	3	1	3	55	554	10	265
Centruroides sculpturatus	27	9	13	1	1	2	6	12	8	3	22	3	24	1	2	8	2	27	14	4	6	2	53	16	0	1	25	1	4	25	1	1	0	1	1	0	9	2	2	1	1	1	3	0	2	5	1	1	19	4	3	7	0	69	2	4	4	39	532	7	221
Hypsibius dujardini	35	3	27	1	1	1	5	10	5	1	32	3	16	0	0	7	6	16	45	3	2	1	23	6	0	0	14	0	2	19	1	1	0	0	1	0	5	2	1	1	1	2	0	0	0	7	1	0	11	4	1	7	0	15	1	2	3	15	66	0	128
Ramazzottius varieornatus	36	2	19	1	1	2	6	9	5	1	28	2	20	0	0	5	10	18	45	3	2	0	25	5	0	0	14	0	3	19	1	1	0	0	1	0	4	2	1	1	1	1	0	0	1	7	1	0	14	3	1	6	0	19	1	2	3	18	64	0	136
Lottia gigantea	38	11	23	1	1	1	4	7	8	1	28	6	28	1	1	5	19	21	6	3	7	2	37	11	0	1	16	5	3	23	1	0	0	0	1	0	3	2	1	1	6	0	2	0	0	4	1	1	14	4	0	7	1	39	3	1	2	49	299	4	194
Crassostrea gigas	29	9	22	1	0	1	5	8	11	2	33	4	24	1	1	7	46	20	8	3	5	4	34	10	0	1	17	4	2	25	1	1	0	0	1	0	3	2	1	1	4	1	2	0	0	5	1	0	16	5	1	7	1	53	2	1	2	64	196	4	196
Capitella teleta	37	14	37	1	1	1	4	8	12	3	29	6	27	1	1	7	24	24	8	5	4	2	37	11	0	1	16	3	3	25	1	1	0	1	1	0	4	2	1	1	4	1	2	0	2	6	2	0	16	4	0	10	0	40	2	1	2	215	277	3	206
Helobdella robusta	33	6	12	2	1	6	5	5	7	2	30	4	27	3	1	6	1	31	7	5	4	1	60	16	0	2	15	3	10	23	1	1	0	0	0	0	6	2	1	1	1	1	1	0	1	3	3	1	12	3	4	10	0	30	2	0	2	56	201	3	155
Notospermus geniculatus	27	13	34	1	2	2	5	12	14	1	53	6	32	1	0	13	25	35	61	4	7	3	100	17	0	1	32	6	4	33	1	1	0	2	1	0	4	2	1	1	9	2	2	0	2	11	2	1	24	8	1	6	1	68	2	1	3	88	309	6	289
Phoronis australis	24	8	21	2	1	1	5	8	7	2	24	6	28	1	2	8	6	24	13	3	6	2	37	9	0	1	22	4	3	24	1	1	0	0	2	0	4	2	1	1	4	1	2	0	1	6	1	1	18	5	1	5	1	60	2	1	3	52	183	7	204
Lingula anatina	19	14	53	1	1	2	6	11	14	2	39	4	47	1	1	10	31	29	17	4	6	2	56	13	0	1	34	9	3	46	1	1	0	2	2	0	4	4	2	2	4	2	2	0	1	6	1	1	20	8	1	6	1	71	3	1	2	73	186	6	280
Echinoccocus multilocularis	33	2	13	1	1	1	5	8	5	1	19	1	8	1	0	5	2	15	7	2	2	2	22	5	0	0	4	1	2	19	1	1	0	0	1	0	3	2	1	1	1	1	0	0	1	4	1	0	5	3	0	4	1	13	1	1	3	13	76	1	110
Schistosoma mansoni	26	2	7	1	1	2	4	8	5	1	18	1	10	1	0	5	3	17	9	1	3	2	23	7	0	0	2	2	1	19	1	1	0	0	1	0	2	2	1	1	1	1	0	0	1	6	1	0	7	2	0	3	0	13	1	1	3	13	73	1	117
Nematostella vectensis	151	22	28	1	2	1	5	9	8	2	35	5	41	1	1	7	4	20	9	4	6	2	41	11	0	1	24	5	3	24	1	1	0	0	1	0	2	2	1	1	3	1	2	0	1	4	1	2	15	6	1	8	0	64	5	2	2	61	123	5	228
Exaiptasia pallida	48	15	32	2	3	2	4	9	8	3	32	4	46	1	0	6	4	24	24	4	10	2	49	11	0	2	20	3	3	29	1	1	1	0	1	0	2	3	1	2	4	0	2	0	1	4	1	1	17	7	1	9	1	85	7	1	2	64	218	5	234
